ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL
53;F20;2019;1;40
53;F20;2019;2;40
53;F20;2019;3;56
53;F20;2019;4;75
53;F20;2019;5;62
53;F20;2019;6;59
53;F20;2019;7;60
53;F20;2019;8;76
53;F20;2019;9;55
53;F20;2019;10;53
53;F20;2019;11;45
53;F20;2019;12;42
53;F20;2020;1;61
53;F20;2020;2;66
53;F20;2020;3;64
53;F20;2020;4;39
53;F20;2020;5;38
53;F20;2020;6;27
53;F20;2020;7;34
53;F20;2020;8;35
53;F20;2020;9;30
53;F20;2020;10;30
53;F20;2020;11;35
53;F20;2020;12;52
53;F20;2021;1;47
53;F20;2021;2;45
53;F20;2021;3;42
53;F20;2021;4;43
53;F20;2021;5;64
53;F20;2021;6;45
53;F20;2021;7;43
53;F20;2021;8;47
53;F20;2021;9;52
53;F20;2021;10;53
53;F20;2021;11;40
53;F20;2021;12;42
53;F20;2022;1;52
53;F20;2022;2;44
53;F20;2022;3;60
53;F20;2022;4;41
53;F20;2022;5;39
53;F20;2022;6;28
53;F20;2022;7;46
53;F20;2022;8;62
53;F20;2022;9;54
53;F20;2022;10;46
53;F20;2022;11;57
53;F20;2022;12;54
53;F21;2018;4;1
53;F21;2018;6;1
53;F21;2018;7;1
53;F21;2019;2;1
53;F21;2019;3;1
53;F21;2019;4;2
53;F21;2019;5;1
53;F21;2019;6;1
53;F21;2019;9;1
53;F21;2019;11;1
53;F21;2019;12;2
53;F21;2020;2;2
53;F21;2020;4;1
53;F21;2020;6;1
53;F21;2020;9;1
53;F21;2021;9;1
53;F21;2021;10;1
53;F21;2021;11;1
53;F21;2022;2;1
53;F22;2018;1;1
53;F22;2018;2;1
53;F22;2018;3;2
53;F22;2018;4;3
53;F22;2018;5;2
53;F22;2018;6;4
53;F22;2018;7;3
53;F22;2018;8;3
53;F22;2018;11;1
53;F22;2018;12;2
53;F22;2019;1;2
53;F22;2019;2;3
53;F22;2019;3;5
53;F22;2019;4;2
53;F22;2019;5;4
53;F22;2019;6;2
53;F22;2019;7;6
53;F22;2019;8;9
53;F22;2019;9;1
53;F22;2019;11;5
53;F22;2019;12;4
53;F22;2020;1;6
53;F22;2020;2;3
53;F22;2020;3;6
53;F22;2020;4;4
53;F22;2020;5;4
53;F22;2020;6;1
53;F22;2020;7;3
53;F22;2020;8;2
53;F22;2020;9;4
53;F22;2020;10;4
53;F22;2020;11;3
53;F22;2020;12;5
53;F22;2021;1;2
53;F22;2021;2;4
53;F22;2021;3;1
53;F22;2021;4;1
53;F22;2021;5;1
53;F22;2021;7;3
53;F22;2021;8;3
53;F22;2021;9;6
53;F22;2021;10;1
53;F22;2021;11;1
53;F22;2021;12;5
53;F22;2022;1;5
53;F22;2022;2;2
53;F22;2022;3;2
53;F22;2022;4;2
53;F22;2022;5;4
53;F22;2022;6;2
53;F22;2022;7;2
53;F22;2022;8;5
53;F22;2022;9;4
53;F22;2022;10;1
53;F22;2022;11;3
53;F23;2018;1;2
53;F23;2018;2;4
53;F23;2018;3;11
53;F23;2018;4;5
53;F23;2018;5;10
53;F23;2018;6;23
53;F23;2018;7;8
53;F23;2018;8;12
53;F23;2018;9;14
53;F23;2018;10;9
53;F23;2018;11;9
53;F23;2018;12;8
53;F23;2019;1;10
53;F23;2019;2;15
53;F23;2019;3;20
53;F23;2019;4;15
53;F23;2019;5;23
53;F23;2019;6;20
53;F23;2019;7;21
53;F23;2019;8;22
53;F23;2019;9;22
53;F23;2019;10;18
53;F23;2019;11;15
53;F23;2019;12;7
53;F23;2020;1;10
53;F23;2020;2;12
53;F23;2020;3;20
53;F23;2020;4;10
53;F23;2020;5;10
53;F23;2020;6;8
53;F23;2020;7;10
53;F23;2020;8;8
53;F23;2020;9;9
53;F23;2020;10;11
53;F23;2020;11;6
53;F23;2020;12;14
53;F23;2021;1;17
53;F23;2021;2;12
53;F23;2021;3;6
53;F23;2021;4;9
53;F23;2021;5;11
53;F23;2021;6;11
53;F23;2021;7;8
53;F23;2021;8;11
53;F23;2021;9;15
53;F23;2021;10;16
53;F23;2021;11;16
53;F23;2021;12;18
53;F23;2022;1;20
53;F23;2022;2;16
53;F23;2022;3;14
53;F23;2022;4;11
53;F23;2022;5;20
53;F23;2022;6;6
53;F23;2022;7;5
53;F23;2022;8;11
53;F23;2022;9;14
53;F23;2022;10;12
53;F23;2022;11;15
53;F23;2022;12;23
53;F24;2019;3;1
53;F25;2018;1;5
53;F25;2018;2;5
53;F25;2018;3;5
53;F25;2018;4;6
53;F25;2018;5;5
53;F25;2018;6;8
53;F25;2018;7;4
53;F25;2018;8;3
53;F25;2018;9;2
53;F25;2018;10;4
53;F25;2018;11;4
53;F25;2018;12;2
53;F25;2019;1;8
53;F25;2019;2;7
53;F25;2019;3;3
53;F25;2019;4;4
53;F25;2019;5;17
53;F25;2019;6;5
53;F25;2019;7;13
53;F25;2019;8;7
53;F25;2019;9;9
53;F25;2019;10;5
53;F25;2019;12;6
53;F25;2020;1;8
53;F25;2020;2;6
53;F25;2020;3;4
53;F25;2020;5;2
53;F25;2020;6;1
53;F25;2020;7;3
53;F25;2020;8;3
53;F25;2020;9;4
53;F25;2020;10;3
53;F25;2020;11;3
53;F25;2020;12;2
53;F25;2021;1;6
53;F25;2021;2;7
53;F25;2021;3;4
53;F25;2021;4;3
53;F25;2021;5;3
53;F25;2021;6;1
53;F25;2021;7;7
53;F25;2021;8;2
53;F25;2021;9;3
53;F25;2021;10;4
53;F25;2021;11;6
53;F25;2021;12;6
53;F25;2022;1;5
53;F25;2022;2;6
53;F25;2022;3;10
53;F25;2022;4;6
53;F25;2022;5;3
53;F25;2022;6;3
53;F25;2022;7;1
53;F25;2022;8;2
53;F25;2022;9;2
53;F25;2022;10;7
53;F25;2022;11;4
53;F25;2022;12;8
53;F28;2018;2;3
53;F28;2018;4;2
53;F28;2018;5;2
53;F28;2018;6;1
53;F28;2018;8;2
53;F28;2018;11;1
53;F28;2018;12;5
53;F28;2019;1;2
53;F28;2019;3;4
53;F28;2019;4;1
53;F28;2019;6;1
53;F28;2019;7;3
53;F28;2019;8;2
53;F28;2019;9;2
53;F28;2019;10;3
53;F28;2020;2;1
53;F28;2020;3;1
53;F28;2020;4;1
53;F28;2020;7;1
53;F28;2020;11;1
53;F28;2021;2;1
53;F28;2021;6;1
53;F28;2021;7;1
53;F28;2021;8;1
53;F28;2021;12;1
